Registration Number,International Designator,Object Name,Country of Origin,Date of Launch,Function,Status,Registration Document,UN Registered,GSO Location,Date of Decay or Change,Secretariat Remarks,External Website,Launch Vehicle,Place of Launch,Apogee (km),Perigee (km),Inclination (degrees),Period (minutes),NORAD_CAT_ID,SATCAT_OBJECT_TYPE,SATCAT_OPS_STATUS,SATCAT_RCS,SATCAT_DECAY_DATE
3832-2025-014,2025-206B,(GLONASS),Russian Federation,2025-09-13,Assignments on behalf of the Ministry of Defence of the Russian Federation,in orbit,/osoindex/data/documents/ru/st/stsgser.e1309.html,T,,,The registration submission for this space object is presently being processed by the United Nations Secretariat.,,,,19166.0,19094.0,64.74,675.74,65590,PAY,+,,
3833-2025-014,2025-206A,,Russian Federation,2025-09-13,Assignments on behalf of the Ministry of Defence of the Russian Federation,in orbit,/osoindex/data/documents/ru/st/stsgser.e1309.html,T,,,The registration submission for this space object is presently being processed by the United Nations Secretariat.,,,,,,,,65589,PAY,+,,
3831-2025-013,2025-204A,,Russian Federation,2025-09-11,"Delivery to the International Space Station of fuel, water, oxygen, air, food, scientific equipment and other consumable materials required for the crew, scientific experiments and operation of the Station",in orbit,/osoindex/data/documents/ru/st/stsgser.e1309.html,T,,,The registration submission for this space object is presently being processed by the United Nations Secretariat.,,,,420.15,415.72,51.63,92.93,65586,PAY,+,,
3827-2025-012,2025-182A,,Russian Federation,2025-08-21,Assignments on behalf of the Ministry of Defence of the Russian Federation,in orbit,/osoindex/data/documents/ru/st/stsgser.e1303.html,T,,,The registration submission for this space object is presently being processed by the United Nations Secretariat.,,,,303.0,289.0,96.59,90.43,65267,PAY,+,,
3828-2025-012,2025-182B,,Russian Federation,2025-08-21,Assignments on behalf of the Ministry of Defence of the Russian Federation,in orbit,/osoindex/data/documents/ru/st/stsgser.e1303.html,T,,,The registration submission for this space object is presently being processed by the United Nations Secretariat.,,,,302.0,286.0,96.59,90.4,65268,PAY,+,,
3829-2025-012,2025-182C,,Russian Federation,2025-08-21,Assignments on behalf of the Ministry of Defence of the Russian Federation,in orbit,/osoindex/data/documents/ru/st/stsgser.e1303.html,T,,,The registration submission for this space object is presently being processed by the United Nations Secretariat.,,,,303.0,287.0,96.59,90.41,65269,PAY,+,,
3830-2025-012,2025-182D,,Russian Federation,2025-08-21,Assignments on behalf of the Ministry of Defence of the Russian Federation,in orbit,/osoindex/data/documents/ru/st/stsgser.e1303.html,T,,,The registration submission for this space object is presently being processed by the United Nations Secretariat.,,,,303.0,288.0,96.59,90.43,65270,PAY,+,,
3826-2025-011,2025-181A,,Russian Federation,2025-08-20,Fundamental research,recovered,/osoindex/data/documents/ru/st/stsgser.e1303.html,T,------,2025-09-19,The registration submission for this space object is presently being processed by the United Nations Secretariat.,,,,2450.0,1555.0,88.27,127.26,65265,PAY,D,,2025-09-19
,2025-180,,Mexico,2025-08-16,"The ThumbSat-1 and ThumbSat-2 satellites are experimental femtosatellites, designed to demonstrate communications technology in low Earth orbit and to capture images from the payload module, which is equipped with a UHF (400.6 MHz) transceiver.",in orbit,/osoindex/data/documents/mx/st/stsgser.e1285.html,T,,,The registration submission for this space object is presently being processed by the United Nations Secretariat. International Designator pending assignment.,,,,,,,,,,,,
3820-2025-010,2025-155*,,Russian Federation,2025-07-25,Technological applications,in orbit,/osoindex/data/documents/ru/st/stsgser.e1301.html,T,,,International Designator pending assignment.,,,,512.0,480.0,97.41,94.39,,,,,
3812-2025-010,2025-155*,,Russian Federation,2025-07-25,Technological applications,in orbit,/osoindex/data/documents/ru/st/stsgser.e1301.html,T,,,International Designator pending assignment.,,,,510.0,486.0,97.42,94.43,,,,,
3818-2025-010,2025-155*,,Russian Federation,2025-07-25,Technological applications,in orbit,/osoindex/data/documents/ru/st/stsgser.e1301.html,T,,,International Designator pending assignment.,,,,511.0,480.0,97.42,94.38,,,,,
3819-2025-010,2025-155*,,Russian Federation,2025-07-25,Technological applications,in orbit,/osoindex/data/documents/ru/st/stsgser.e1301.html,T,,,International Designator pending assignment.,,,,511.0,481.0,97.42,94.39,,,,,
3813-2025-010,2025-155*,,Russian Federation,2025-07-25,Scientific applications,in orbit,/osoindex/data/documents/ru/st/stsgser.e1301.html,T,,,International Designator pending assignment.,,,,510.0,480.0,97.42,94.37,,,,,
3814-2025-010,2025-155*,,Russian Federation,2025-07-25,Scientific applications,in orbit,/osoindex/data/documents/ru/st/stsgser.e1301.html,T,,,International Designator pending assignment.,,,,510.0,479.0,97.42,94.37,,,,,
3815-2025-010,2025-155*,,Russian Federation,2025-07-25,Scientific applications,in orbit,/osoindex/data/documents/ru/st/stsgser.e1301.html,T,,,International Designator pending assignment.,,,,511.0,479.0,97.42,94.38,,,,,
3817-2025-010,2025-155*,,Russian Federation,2025-07-25,Earth remote sensing,in orbit,/osoindex/data/documents/ru/st/stsgser.e1301.html,T,,,International Designator pending assignment.,,,,511.0,480.0,97.42,94.38,,,,,
3816-2025-010,2025-155*,,Russian Federation,2025-07-25,Earth remote sensing,in orbit,/osoindex/data/documents/ru/st/stsgser.e1301.html,T,,,International Designator pending assignment.,,,,511.0,480.0,97.42,94.38,,,,,
3821-2025-010,2025-155*,,Russian Federation,2025-07-25,Technological applications,in orbit,/osoindex/data/documents/ru/st/stsgser.e1301.html,T,,,International Designator pending assignment.,,,,512.0,483.0,97.41,94.43,,,,,
3824-2025-010,2025-155*,,Russian Federation,2025-07-25,Technological applications,in orbit,/osoindex/data/documents/ru/st/stsgser.e1301.html,T,,,International Designator pending assignment.,,,,514.0,493.0,97.41,94.55,,,,,
3825-2025-010,2025-155*,,Russian Federation,2025-07-25,Technological applications,in orbit,/osoindex/data/documents/ru/st/stsgser.e1301.html,T,,,International Designator pending assignment.,,,,514.0,497.0,97.41,94.59,,,,,
3823-2025-010,2025-155*,,Russian Federation,2025-07-25,Technological applications,in orbit,/osoindex/data/documents/ru/st/stsgser.e1301.html,T,,,International Designator pending assignment.,,,,513.0,489.0,97.41,94.5,,,,,
3822-2025-010,2025-155*,,Russian Federation,2025-07-25,Earth remote sensing,in orbit,/osoindex/data/documents/ru/st/stsgser.e1301.html,T,,,International Designator pending assignment.,,,,513.0,491.0,97.41,94.51,,,,,
3810-2025-010,2025-155*,,Russian Federation,2025-07-25,Technological applications,in orbit,/osoindex/data/documents/ru/st/stsgser.e1301.html,T,,,International Designator pending assignment.,,,,510.0,493.0,97.41,94.5,,,,,
3809-2025-010,2025-155*,,Russian Federation,2025-07-25,Technological applications,in orbit,/osoindex/data/documents/ru/st/stsgser.e1301.html,T,,,International Designator pending assignment.,,,,510.0,497.0,97.41,94.54,,,,,
3811-2025-010,2025-155*,,Russian Federation,2025-07-25,Technological applications,in orbit,/osoindex/data/documents/ru/st/stsgser.e1301.html,T,,,International Designator pending assignment.,,,,510.0,489.0,97.41,94.46,,,,,
3807-2025-010,2025-155A,,Russian Federation,2025-07-25,Geophysical applications,in orbit,/osoindex/data/documents/ru/st/stsgser.e1301.html,T,,,------,,,,836.0,798.0,98.33,101.05,64876,PAY,+,,
3808-2025-010,2025-155B,,Russian Federation,2025-07-25,Geophysical applications,in orbit,/osoindex/data/documents/ru/st/stsgser.e1301.html,T,,,------,,,,836.0,798.0,98.33,101.05,64877,PAY,+,,
64867,2025-153B,O3B MPOWER F10,United Kingdom,2025-07-22,Connectivity,in orbit,/osoindex/data/documents/gb/st/stsgser.e1308.html,T,,,The registration submission for this space object is presently being processed by the United Nations Secretariat.,,,,7061.0,2842.0,8.75,200.03,64867,PAY,+,,
64866,2025-153A,O3B MPOWER F09,United Kingdom,2025-07-22,Connectivity,in orbit,/osoindex/data/documents/gb/st/stsgser.e1308.html,T,,,The registration submission for this space object is presently being processed by the United Nations Secretariat.,,,,7557.0,5586.0,3.24,244.43,64866,PAY,+,,
3806-2025-009,2025-146A,,Russian Federation,2025-07-03,"Delivery to the International Space Station of fuel, water, oxygen, air, food, scientific equipment and other consumable materials required for the crew, scientific experiments and operation of the Station",in orbit,/osoindex/data/documents/ru/st/stsgser.e1301.html,T,,,Date of launch is 2025-07-03 using UTC.,,,,420.15,415.72,51.63,92.93,64751,PAY,+,,
BG-2025-02,2025-135AH,,Bulgaria,2025-06-23,"Scientific mission that aims to measure the polarization and directivity of hard X-rays (HXRs) emitted during flares from the Sun, unraveling the behaviors and distributions of high-energy electrons in the Sun’s atmosphere.",in orbit,/osoindex/data/documents/bg/st/stsgser.e1295.html,T,,,The registration submission for this space object is presently being processed by the United Nations Secretariat.,,,,595.0,591.0,97.76,96.54,64559,PAY,+,,
64546,2025-135U,,United Kingdom,2025-06-23,In-Space Assembly and Manufacturing (ISAM) payload test platform with heat shield test,in orbit,/osoindex/data/documents/gb/st/stsgser.e1293.html,T,,,------,,,,505.0,501.0,97.45,94.68,64546,PAY,+,,
2025-DK-02,2025-135BN,,Denmark,2025-06-23,The BIFROST-DNK mission is a technology demonstration mission,in orbit,/osoindex/data/documents/dk/st/stsgser.e1296.html,T,,,The registration submission for this space object is presently being processed by the United Nations Secretariat.,,,,590.0,585.0,97.76,96.43,64588,PAY,+,,
64557,2025-135AF,,Türkiye,2025-06-23,Object-to-object and machine-to-machine communication tests. In-orbit demonstration,in orbit,/osoindex/data/documents/tr/st/stsgser.e1300.html,T,,,------,,,,506.0,506.0,97.46,94.74,64557,PAY,+,,
64555,2025-135AD,,Türkiye,2025-06-23,Object-to-object and machine-to-machine communication tests. In-orbit demonstration,in orbit,/osoindex/data/documents/tr/st/stsgser.e1300.html,T,,,------,,,,507.0,506.0,97.45,94.75,64555,PAY,+,,
64553,2025-135AB,,Türkiye,2025-06-23,Object-to-object and machine-to-machine communication tests. In-orbit demonstration,in orbit,/osoindex/data/documents/tr/st/stsgser.e1300.html,T,,,------,,,,506.0,504.0,97.46,94.72,64553,PAY,+,,
64534,2025-135G,,Türkiye,2025-06-23,Object-to-object and machine-to-machine communication tests. In-orbit demonstration,in orbit,/osoindex/data/documents/tr/st/stsgser.e1300.html,T,,,------,,,,515.0,506.0,97.46,94.83,64534,PAY,+,,
NZ-2025-059,2025-135F,,New Zealand,2025-06-23,Remote sensing,in orbit,/osoindex/data/documents/nz/st/stsgser.e1305.html,T,,,The registration submission for this space object is presently being processed by the United Nations Secretariat.,https://space.auckland.ac.nz/2025/09/01/news-on-tpa-1-mission/,,,512.0,502.0,97.45,94.76,64533,PAY,+,,
3805-2025-008,2025-131C,,Russian Federation,2025-06-20,Assignments on behalf of the Ministry of Defence of the Russian Federation,in orbit,/osoindex/data/documents/ru/st/stsgser.e1291.html,T,,,------,,,,28330.0,145.0,60.9,490.97,64469,DEB,,,
3804-2025-007,2025-131A,,Russian Federation,2025-06-19,Assignments on behalf of the Ministry of Defence of the Russian Federation,in orbit,/osoindex/data/documents/ru/st/stsgser.e1291.html,T,,,------,,,,49825.0,23080.0,0.38,1470.26,64467,PAY,+,,
3803-2025-006,2025-109A,,Russian Federation,2025-05-23,Assignments on behalf of the Ministry of Defence of the Russian Federation,in orbit,/osoindex/data/documents/ru/st/stsgser.e1282.html,T,,,------,,,,486.0,471.0,72.97,94.17,64095,PAY,+,,
3802-2025-005,2025-072A,,Russian Federation,2025-04-08,"Delivery to the International Space Station of the crew of Expedition 73, consisting of Sergei Nikolaevich Ryzhikov (Russian Federation), commander of the crewed transport vehicle; Aleksei Vitalyevich Zubritsky (Russian Federation), flight
engineer 1; and Jonathan Yong Roy Kim (National Aeronautics and Space Administration (NASA) of the United States), flight engineer 2.",in orbit,/osoindex/data/documents/ru/st/stsgser.e1276.html,T,,,------,,,,420.0,416.0,51.63,92.93,63520,PAY,D,,2025-12-09
D-R133,2025-061B,,Germany,2025-03-26,The LEMUR-2-ESPERANZA spacecraft is used for practical applications and the use of space technology such as weather or communication,in orbit,/osoindex/data/documents/de/st/stsgser.e1299.html,T,,,"The registration submission for this space object is presently being processed by the United Nations Secretariat. State of registry notes in ST/SG/SER.E/1299 that ""the expected year when the space object is no longer functional is 2030"". ",https://spire.com/,,,544.0,517.0,97.54,95.25,63352,PAY,+,,
D-R140,2025-061H,,Germany,2025-03-26,The LEMUR-2-LANGER2SPACE spacecraft is used for practical applications and the use of space technology such as weather or communication.,in orbit,/osoindex/data/documents/de/st/stsgser.e1299.html,T,,,"The registration submission for this space object is presently being processed by the United Nations Secretariat. State of registry notes in ST/SG/SER.E/1299 that ""the expected year when the space object is no longer functional is 2030"". ",https://spire.com/,,,541.0,517.0,97.54,95.21,63358,PAY,+,,
D-R135,2025-061C,,Germany,2025-03-26,The LEMUR-2-KREMPEL-BRO2 spacecraft is used for practical applications and the use of space technology such as weather or communication,in orbit,/osoindex/data/documents/de/st/stsgser.e1299.html,T,,,"The registration submission for this space object is presently being processed by the United Nations Secretariat. State of registry notes in ST/SG/SER.E/1299 that ""the expected year when the space object is no longer functional is 2030"". ",https://spire.com/,,,543.0,516.0,97.55,95.23,63353,PAY,+,,
D-R134,2025-061G,,Germany,2025-03-26,The LEMUR-2-KREMPEL-BRO1 spacecraft is used for practical applications and the use of space technology such as weather or communication,in orbit,/osoindex/data/documents/de/st/stsgser.e1299.html,T,,,"The registration submission for this space object is presently being processed by the United Nations Secretariat. State of registry notes in ST/SG/SER.E/1299 that ""the expected year when the space object is no longer functional is 2030"". ",https://spire.com/,,,541.0,514.0,97.54,95.19,63357,PAY,+,,
D-R138,2025-061F,,Germany,2025-03-26,The LEMUR-2-TILLINFINITY spacecraft is used for practical applications and the use of space technology such as weather or communication,in orbit,/osoindex/data/documents/de/st/stsgser.e1299.html,T,,,"The registration submission for this space object is presently being processed by the United Nations Secretariat. State of registry notes in ST/SG/SER.E/1299 that ""the expected year when the space object is no longer functional is 2030"". ",https://spire.com/,,,541.0,514.0,97.54,95.18,63356,PAY,+,,
D-R137,2025-061E,,Germany,2025-03-26,The LEMUR-2-NEUROSPICY spacecraft is used for practical applications and the use of space technology such as weather or communication,in orbit,/osoindex/data/documents/de/st/stsgser.e1299.html,T,,,"The registration submission for this space object is presently being processed by the United Nations Secretariat. State of registry notes in ST/SG/SER.E/1299 that ""the expected year when the space object is no longer functional is 2030"". ",https://spire.com/,,,541.0,517.0,97.54,95.22,63355,PAY,+,,
PT-SAT-04-2025,2025-009DR,,Portugal,2025-03-26,"Provision of Very High Frequency Data Exchange System (VDES) and Automatic Identification System (AIS) services to support maritime navigation, with global coverage",in orbit,/osoindex/data/documents/pt/st/stsgser.e1288.html,T,,,Date of launch is date of deployment from ION SCV-014 Amazing Antonius (international designator 2025-009X),,,,549.0,539.0,97.51,95.52,63488,PAY,+,,
D-R139,2025-061A,,Germany,2025-03-26,The LEMUR-2-UNTITLED-SC spacecraft is used for practical applications and the use of space technology such as weather or communication,in orbit,/osoindex/data/documents/de/st/stsgser.e1299.html,T,,,"The registration submission for this space object is presently being processed by the United Nations Secretariat. State of registry notes in ST/SG/SER.E/1299 that ""the expected year when the space object is no longer functional is 2030"". ",https://spire.com/,,,544.0,518.0,97.54,95.26,63351,PAY,+,,
3801-2025-004,2025-054C,,Russian Federation,2025-03-16,Assignments on behalf of the Ministry of Defence of the Russian Federation,in orbit,/osoindex/data/documents/ru/st/stsgser.e1271.html,T,,,------,,,,1506.0,1482.0,82.5,115.86,63290,PAY,+,,
3800-2025-004,2025-054B,,Russian Federation,2025-03-16,Assignments on behalf of the Ministry of Defence of the Russian Federation,in orbit,/osoindex/data/documents/ru/st/stsgser.e1271.html,T,,,------,,,,1511.0,1478.0,82.49,115.86,63289,PAY,+,,
3799-2025-004,2025-054A,,Russian Federation,2025-03-16,Assignments on behalf of the Ministry of Defence of the Russian Federation,in orbit,/osoindex/data/documents/ru/st/stsgser.e1271.html,T,,,------,,,,1514.0,1475.0,82.49,115.86,63288,PAY,+,,
BSA-2025-001,2025-052AG,,Bahrain,2025-03-15,"The AlMunther satellite is dedicated to peaceful purposes and scientific research
activities, fully aligned with the principles of the Outer Space Treaty. The mission
objectives include capturing medium-resolution images of the Kingdom of Bahrain
and its territorial waters to support environmental monitoring. Additionally, the
satellite performs advanced onboard experiments utilizing artificial intelligence
algorithms to analyze captured imagery in real-time, enhancing data processing
capabilities directly in orbit. ",in orbit,/osoindex/data/documents/bh/st/stsgser.e1268.html,T,,,------,,,,498.0,485.0,97.41,94.43,63240,PAY,+,,
63212 NORAD,2025-052C,,Spain,2025-03-15,To demonstrate the provision of services relating to communications and surveillance for air traffic control,in orbit,/osoindex/data/documents/es/st/stsgser.e1283.html,T,,,------,,,,461.0,454.0,97.4,93.74,63212,PAY,+,,
3798-2025-003,2025-042A,(GLONASS),Russian Federation,2025-03-03,Assignments on behalf of the Ministry of Defence of the Russian Federation,in orbit,/osoindex/data/documents/ru/st/stsgser.e1271.html,T,,,Date of launch is 2025-03-02 using UTC.,,,,19149.0,19110.0,64.98,675.73,63130,PAY,S,,
3797-2025-002,2025-041A,,Russian Federation,2025-02-27,"Delivery to the International Space Station of fuel, water, oxygen, air, food, scientific equipment and other consumable materials required for the crew, scientific experiments and operation of the Station",deorbited,/osoindex/data/documents/ru/st/stsgser.e1257.html,T,------,2025-09-09,International Designator provided by State of registry. Date of launch is 2025-02-27 using UTC.,,,,152.0,139.0,51.65,87.4,63128,R/B,D,,2025-03-01
3795-2025-001,2025-026B,,Russian Federation,2025-02-05,Assignments on behalf of the Ministry of Defence of the Russian Federation,in orbit,/osoindex/data/documents/ru/st/stsgser.e1257.html,T,,,------,,,,591.0,578.0,82.0,96.37,62903,PAY,+,,
3794-2025-001,2025-026A,,Russian Federation,2025-02-05,Assignments on behalf of the Ministry of Defence of the Russian Federation,in orbit,/osoindex/data/documents/ru/st/stsgser.e1257.html,T,,,------,,,,591.0,578.0,82.0,96.36,62902,PAY,+,,
3796-2025-001,2025-026C,,Russian Federation,2025-02-05,Assignments on behalf of the Ministry of Defence of the Russian Federation,in orbit,/osoindex/data/documents/ru/st/stsgser.e1257.html,T,,,----,,,,591.0,578.0,81.99,96.36,62904,PAY,+,,
PROMETHEUS-1,2025-009*,,Portugal,2025-01-22,"Space operations pursued exclusively for scientific, research and development purposes, and activities with experimental purposes",in orbit,/osoindex/data/documents/pt/st/stsgser.e1288.html,T,,,Date of launch is date of deployment from ION SCV-016 Eminent Emmanuel (international designator 2025-009V).,,,,,,,,,,,,
BG-2025-01,2025-009C,,Bulgaria,2025-01-14,Earth observation,in orbit,/osoindex/data/documents/bg/st/stsgser.e1295.html,T,,,The registration submission for this space object is presently being processed by the United Nations Secretariat.,,,,504.0,496.0,97.41,94.62,62611,PAY,+,,
2025-DK-01,2025-009B,,Denmark,2025-01-14,Technology demonstration. The EDISON-1 mission performs in-orbit demonstration by providing flight opportunities to payload equipment.,in orbit,/osoindex/data/documents/dk/st/stsgser.e1250.html,T,,,------,,,,490.0,484.0,97.42,94.35,62610,PAY,+,,
AE-25-06,2025-009*,,United Arab Emirates,2025-01-14,HCT-SAT1 will collect engineering data as well as capturing pictures of the Earth,in orbit,/osoindex/data/documents/ae/st/stsgser.e1289.html,T,,,The registration submission for this space object is presently being processed by the United Nations Secretariat. International Designator pending assignment.,https://hct.ac.ae/en/news/hct-set-to-launch-hct-sat1-in-collaboration-with-mbrsc-this-january/,,,,,,,,,,,
AE-25-05,2025-009*,,United Arab Emirates,2025-01-14,Educational CubeSat used for academic research,in orbit,/osoindex/data/documents/ae/st/stsgser.e1289.html,T,,,The registration submission for this space object is presently being processed by the United Nations Secretariat. International Designator pending assignment.,,,,,,,,,,,,
Norsat-4,2025-009CX,,Norway,2025-01-14,"Maritime surveillance via the Automatic Identification System (AIS), with in-orbit technology demonstrations of low-light imaging and encrypted communications",in orbit,/osoindex/data/documents/no/st/stsgser.e1304.html,T,,,The registration submission for this space object is presently being processed by the United Nations Secretariat.,https://www.romsenter.no/en/satellites-space-infrastructure-and-their-use,,,586.0,585.0,97.72,96.38,62702,PAY,+,,
62695,2025-009CQ,,Türkiye,2025-01-14,Object-to-object and machine-to-machine communication tests. In-orbit demonstration,in orbit,/osoindex/data/documents/tr/st/stsgser.e1252.html,T,,,The registration submission for this space object is presently being processed by the United Nations Secretariat.,,,,592.0,590.0,97.73,96.5,62695,PAY,+,,
62703,2025-009CY,,Türkiye,2025-01-14,Object-to-object and machine-to-machine communication tests. In-orbit demonstration,in orbit,/osoindex/data/documents/tr/st/stsgser.e1252.html,T,,,The registration submission for this space object is presently being processed by the United Nations Secretariat.,,,,586.0,584.0,97.72,96.37,62703,PAY,+,,
62715,2025-009DL,,Türkiye,2025-01-14,Object-to-object and machine-to-machine communication tests. In-orbit demonstration,in orbit,/osoindex/data/documents/tr/st/stsgser.e1252.html,T,,,The registration submission for this space object is presently being processed by the United Nations Secretariat.,,,,589.0,584.0,97.73,96.41,62715,PAY,+,,
62709,2025-009DE,,Türkiye,2025-01-14,Object-to-object and machine-to-machine communication tests. In-orbit demonstration,in orbit,/osoindex/data/documents/tr/st/stsgser.e1252.html,T,,,The registration submission for this space object is presently being processed by the United Nations Secretariat.,,,,588.0,585.0,97.72,96.41,62709,PAY,+,,
62644,2025-009AM,,Spain,2025-01-14,Satellite part of a formation-flying satellite cluster and for Earth observation,in orbit,/osoindex/data/documents/es/st/stsgser.e1258.html,T,,,The registration submission for this space object is presently being processed by the United Nations Secretariat. ,,,,471.0,469.0,97.42,94.0,62644,PAY,+,,
62454,2024-252A,(ASTRANIS UTILITYSAT),United Kingdom,2024-12-29,Communications,in GSO,/osoindex/data/documents/gb/st/stsgser.e1281.html,T,,-121.1 degrees East,The registration submission for this space object is presently being processed by the United Nations Secretariat.,,,,67436.0,4112.0,8.94,1435.47,62454,PAY,+,,
62455,2024-252B,,United Kingdom,2024-12-29,Communications,in GSO,/osoindex/data/documents/gb/st/stsgser.e1281.html,T,,-083.1 degrees East,The registration submission for this space object is presently being processed by the United Nations Secretariat.,,,,35792.87,35777.65,0.05,1436.03,62455,PAY,+,,
62456,2024-252C,,United Kingdom,2024-12-29,Communications,in GSO,/osoindex/data/documents/gb/st/stsgser.e1281.html,T,,+152.1 degrees East,The registration submission for this space object is presently being processed by the United Nations Secretariat.,,,,35793.43,35780.43,0.05,1436.11,62456,PAY,+,,
62457,2024-252D,,United Kingdom,2024-12-29,,in GSO,/osoindex/data/documents/gb/st/stsgser.e1281.html,T,,-083.1 degrees West,The registration submission for this space object is presently being processed by the United Nations Secretariat.,,,,35793.62,35779.85,0.07,1436.1,62457,PAY,+,,
3793-2024-017,2024-250A,,Russian Federation,2024-12-25,Earth remote sensing,in orbit,/osoindex/data/documents/ru/st/stsgser.e1246.html,T,,,The registration submission for this space object is presently being processed by the United Nations Secretariat. ,,,,471.0,469.0,97.27,93.99,62430,PAY,+,,
DJ-2024-001,2024-247AB,,Djibouti,2024-12-21,Gathering of meteorological data transmitted by ground-based measurement stations,in orbit,/osoindex/data/documents/dj/st/stsgser.e1286.html,T,,,The registration submission for this space object is presently being processed by the United Nations Secretariat. Prelaunch notification provided by State of registry in ST/SG/SER.E/1160.,https://spatialdjiboutien.net/,,,455.0,443.0,44.97,93.57,62402,PAY,+,,
FIN-31-SAT-2024,2024-247H,,Finland,2024-12-21,"Earth observation satellite, carrying a synthetic aperture radar. Data will be provided commercially.",in orbit,/osoindex/data/documents/fi/st/stsgser.e1277.html,T,,,The registration submission for this space object is presently being processed by the United Nations Secretariat.,,,,535.0,533.0,45.0,95.32,62384,PAY,+,,
FIN-30-SAT-2024,2024-247N,,Finland,2024-12-21,"Earth observation satellite, carrying a synthetic aperture radar. Data will be provided commercially.",in orbit,/osoindex/data/documents/fi/st/stsgser.e1277.html,T,,,The registration submission for this space object is presently being processed by the United Nations Secretariat.,,,,534.0,533.0,45.0,95.31,62389,PAY,+,,
62363,2024-244B,O3B MPOWER F8,United Kingdom,2024-12-17,Connectivity,in orbit,/osoindex/data/documents/gb/st/stsgser.e1251.html,T,,,------,,,,8076.0,8056.0,0.07,287.93,62363,PAY,+,,
62362,2024-244A,O3B MPOWER F7,United Kingdom,2024-12-17,Connectivity,in orbit,/osoindex/data/documents/gb/st/stsgser.e1251.html,T,,,------,,,,8075.0,8057.0,0.06,287.93,62362,PAY,+,,
3792-2024-016,2024-230A,,Russian Federation,2024-12-04,Intended for assignments on behalf of the Ministry of Defence of the Russian Federation,in orbit,/osoindex/data/documents/ru/st/stsgser.e1246.html,T,,,The registration submission for this space object is presently being processed by the United Nations Secretariat. ,,,,910.0,901.0,67.15,103.1,62216,PAY,+,,
3791-2024-15,2024-223A,,Russian Federation,2024-11-30,Monitoring of emergency situations,in orbit,/osoindex/data/documents/ru/st/stsgser.e1238.html,T,,,Date of launch is 2024-11-29 using UTC.,,,,508.0,505.0,97.43,94.75,62138,PAY,+,,
3790-2024-14,2024-215A,,Russian Federation,2024-11-21,"Delivery to the International Space Station of fuel, water, oxygen, air, food, scientific equipment and other consumable materials required for the crew, scientific experiments and operation of the Station",deorbited,/osoindex/data/documents/ru/st/stsgser.e1238.html,T,,2025-07-02,------,,,,417.0,414.0,51.64,92.88,62030,PAY,D,,2025-07-02
07/2024,2024-212A,OPTUS X (TD7),Australia,2024-11-17,The satellite shall provide the Commonwealth of Australia (CoA) multiband communications over the Indo-Pacific region. The satellite is used for defence communications purposes.,in GSO,/osoindex/data/documents/au/st/stsgser.e1275.html,T,+095 degrees East,,------,,,,35791.17,35782.48,0.04,1436.11,62006,PAY,+,,
3740-2024-13,2024-199*,,Russian Federation,2024-11-05,Technological applications,in orbit,/osoindex/data/documents/ru/st/stsgser.e1238.html,T,,,International Designator pending assignment. Date of launch is 2024-11-04 using UTC.,,,,,,,,,,,,
3738-2024-13,2024-199A,,Russian Federation,2024-11-05,Monitoring of heliogeophysical conditions,in orbit,/osoindex/data/documents/ru/st/stsgser.e1238.html,T,,,Date of launch is 2024-11-04 using UTC.,,,,816.82,815.55,98.74,101.21,61735,PAY,+,,
3739-2024-13,2024-199B,,Russian Federation,2024-11-05,Monitoring of heliogeophysical conditions,in orbit,/osoindex/data/documents/ru/st/stsgser.e1238.html,T,,,Date of launch is 2024-11-04 using UTC.,,,,817.39,814.97,98.74,101.21,61736,PAY,+,,
3766-2024-13,2024-199L,,Russian Federation,2024-11-05,Technological applications,in orbit,/osoindex/data/documents/ru/st/stsgser.e1238.html,T,,,Date of launch is 2024-11-04 using UTC.,,,,435.0,427.0,97.32,93.19,61745,PAY,+,,
3786-2024-13,2024-199N,,Russian Federation,2024-11-05,Technological applications,in orbit,/osoindex/data/documents/ru/st/stsgser.e1238.html,T,,,Date of launch is 2024-11-04 using UTC.,,,,457.0,445.0,97.33,93.61,61747,PAY,+,,
3788-2024-13,2024-199M,,Russian Federation,2024-11-05,Earth remote sensing,in orbit,/osoindex/data/documents/ru/st/stsgser.e1238.html,T,,,Date of launch is 2024-11-04 using UTC.,,,,454.0,442.0,97.33,93.55,61746,PAY,+,,
3762-2024-13,2024-199*,,Russian Federation,2024-11-05,Technological applications,in orbit,/osoindex/data/documents/ru/st/stsgser.e1238.html,T,,,International Designator pending assignment. Date of launch is 2024-11-04 using UTC.,,,,,,,,,,,,
3758-2024-13,2024-199*,,Russian Federation,2024-11-05,Technological applications,in orbit,/osoindex/data/documents/ru/st/stsgser.e1238.html,T,,,International Designator pending assignment. Date of launch is 2024-11-04 using UTC.,,,,,,,,,,,,
3754-2024-13,2024-199*,,Russian Federation,2024-11-05,Technological applications,in orbit,/osoindex/data/documents/ru/st/stsgser.e1238.html,T,,,International Designator pending assignment. Date of launch is 2024-11-04 using UTC.,,,,,,,,,,,,
3753-2024-13,2024-199*,,Russian Federation,2024-11-05,Technological applications,in orbit,/osoindex/data/documents/ru/st/stsgser.e1238.html,T,,,International Designator pending assignment. Date of launch is 2024-11-04 using UTC.,,,,,,,,,,,,
