Registration Number,International Designator,Object Name,Country of Origin,Date of Launch,Function,Status,Registration Document,UN Registered,GSO Location,Date of Decay or Change,Secretariat Remarks,External Website,Launch Vehicle,Place of Launch,Apogee (km),Perigee (km),Inclination (degrees),Period (minutes),NORAD_CAT_ID,SATCAT_OBJECT_TYPE,SATCAT_OPS_STATUS,SATCAT_RCS,SATCAT_DECAY_DATE
ZHOBT-01,2018-040A,OHS-01,China,2018-04-26,Earth observation,decayed,/osoindex/data/documents/cn/st/stsgser.e898.html,T,,2024-11-14,------,,,,154.0,141.0,97.08,87.43,43439,PAY,D,,2024-11-10
ZHOBT-05,2018-040E,OHS-04,China,2018-04-26,Earth observation,in orbit,/osoindex/data/documents/cn/st/stsgser.e898.html,T,,,------,,,,173.0,162.0,97.08,87.83,43443,PAY,D,,2024-11-01
ZHOBT-03,2018-040C,OHS-02,China,2018-04-26,Earth observation,in orbit,/osoindex/data/documents/cn/st/stsgser.e898.html,T,,,------,,,,492.0,478.0,97.06,94.3,43441,PAY,+,,
3492-2019-005,2018-037A,,Russian Federation,2018-04-18,Intended for assignments on behalf of the Ministry of Defence of the Russian Federation,in GSO,/osoindex/data/documents/ru/st/stsgser.e848.html,T,,,------,,,,35788.66,35783.71,0.02,1436.08,43432,PAY,+,,
GF-1-03,2018-031B,GAOFEN 1-03,China,2018-03-31,"For general survey of land territory, crop yield estimation, disaster mitigation and so on",in orbit,/osoindex/data/documents/cn/st/stsgser.e856.html,T,,,------,,,,641.91,639.25,98.08,97.53,43260,PAY,+,,
GF-1-02,2018-031A,GAOFEN 1-02,China,2018-03-31,"For general survey of land territory, crop yield estimation, disaster mitigation and so on",in orbit,/osoindex/data/documents/cn/st/stsgser.e856.html,T,,,------,,,,641.93,639.35,98.08,97.53,43259,PAY,+,,
GF-1-04,2018-031D,GAOFEN 1-04,China,2018-03-31,"For general survey of land territory, crop yield estimation, disaster mitigation and so on",in orbit,/osoindex/data/documents/cn/st/stsgser.e856.html,T,,,------,,,,641.23,639.84,98.08,97.53,43262,PAY,+,,
3491-2018-004,2018-028A,,Russian Federation,2018-03-29,Intended for assignments on behalf of the Ministry of Defence of the Russian Federation,decayed,/osoindex/data/documents/ru/st/stsgser.e849.html,T,,2021-04-01,------,,,,135.0,121.0,96.36,87.04,43243,PAY,D,,2021-04-01
3490-2018-003,2018-026A,,Russian Federation,2018-03-21,"Delivery to the International Space Station of the crew of Expeditions 55 and 56, consisting of Oleg Germanovich Artemyev (Russian Federation), commander of the manned transport vehicle, and flight engineers Andrew Feustel and Richard Arnold (both of the United States of America)",recovered,/osoindex/data/documents/ru/st/stsgser.e849.html,T,,2018-10-04,------,,,,408.0,403.0,51.64,92.68,43238,PAY,D,,2018-10-04
ROLEU.ESP.18,2018-023A,,Spain,2018-03-06,Provision of space capacity for telecommunications services,in GSO,/osoindex/data/documents/es/st/stsgser.e955.html,T,-030.0 degrees East,,------,,,,35799.7,35773.03,0.04,1436.09,43228,PAY,+,,
2018-021A,2018-021A,IGS 6,Japan,2018-02-27,Satellite conducting missions assigned by the Government of Japan,in orbit,/osoindex/data/documents/jp/st/stsgser.e846.html,T,,,------,,,,,,,,43223,PAY,+,,
