Registration Number,Object Name,Launch Vehicle,Place of Launch,Date of Launch,Apogee (km),Perigee (km),Inclination (degrees),Period (minutes),Function,Country of Origin
3832-2025-014,(GLONASS),,,2025-09-13,,,,,Assignments on behalf of the Ministry of Defence of the Russian Federation,Russian Federation
3833-2025-014,,,,2025-09-13,,,,,Assignments on behalf of the Ministry of Defence of the Russian Federation,Russian Federation
3831-2025-013,,,,2025-09-11,,,,,"Delivery to the International Space Station of fuel, water, oxygen, air, food, scientific equipment and other consumable materials required for the crew, scientific experiments and operation of the Station",Russian Federation
3827-2025-012,,,,2025-08-21,,,,,Assignments on behalf of the Ministry of Defence of the Russian Federation,Russian Federation
3828-2025-012,,,,2025-08-21,,,,,Assignments on behalf of the Ministry of Defence of the Russian Federation,Russian Federation
3829-2025-012,,,,2025-08-21,,,,,Assignments on behalf of the Ministry of Defence of the Russian Federation,Russian Federation
3830-2025-012,,,,2025-08-21,,,,,Assignments on behalf of the Ministry of Defence of the Russian Federation,Russian Federation
3826-2025-011,,,,2025-08-20,,,,,Fundamental research,Russian Federation
3820-2025-010,,,,2025-07-25,,,,,Technological applications,Russian Federation
3812-2025-010,,,,2025-07-25,,,,,Technological applications,Russian Federation
3818-2025-010,,,,2025-07-25,,,,,Technological applications,Russian Federation
3819-2025-010,,,,2025-07-25,,,,,Technological applications,Russian Federation
3813-2025-010,,,,2025-07-25,,,,,Scientific applications,Russian Federation
3814-2025-010,,,,2025-07-25,,,,,Scientific applications,Russian Federation
3815-2025-010,,,,2025-07-25,,,,,Scientific applications,Russian Federation
3817-2025-010,,,,2025-07-25,,,,,Earth remote sensing,Russian Federation
3816-2025-010,,,,2025-07-25,,,,,Earth remote sensing,Russian Federation
3821-2025-010,,,,2025-07-25,,,,,Technological applications,Russian Federation
3824-2025-010,,,,2025-07-25,,,,,Technological applications,Russian Federation
3825-2025-010,,,,2025-07-25,,,,,Technological applications,Russian Federation
3823-2025-010,,,,2025-07-25,,,,,Technological applications,Russian Federation
3822-2025-010,,,,2025-07-25,,,,,Earth remote sensing,Russian Federation
3810-2025-010,,,,2025-07-25,,,,,Technological applications,Russian Federation
3809-2025-010,,,,2025-07-25,,,,,Technological applications,Russian Federation
3811-2025-010,,,,2025-07-25,,,,,Technological applications,Russian Federation
3807-2025-010,,,,2025-07-25,,,,,Geophysical applications,Russian Federation
3808-2025-010,,,,2025-07-25,,,,,Geophysical applications,Russian Federation
64867,O3B MPOWER F10,,,2025-07-22,,,,,Connectivity,United Kingdom
64866,O3B MPOWER F09,,,2025-07-22,,,,,Connectivity,United Kingdom
3806-2025-009,,,,2025-07-03,,,,,"Delivery to the International Space Station of fuel, water, oxygen, air, food, scientific equipment and other consumable materials required for the crew, scientific experiments and operation of the Station",Russian Federation
BG-2025-02,,,,2025-06-23,,,,,"Scientific mission that aims to measure the polarization and directivity of hard X-rays (HXRs) emitted during flares from the Sun, unraveling the behaviors and distributions of high-energy electrons in the Sun’s atmosphere.",Bulgaria
64546,,,,2025-06-23,,,,,In-Space Assembly and Manufacturing (ISAM) payload test platform with heat shield test,United Kingdom
2025-DK-02,,,,2025-06-23,,,,,The BIFROST-DNK mission is a technology demonstration mission,Denmark
64557,,,,2025-06-23,,,,,Object-to-object and machine-to-machine communication tests. In-orbit demonstration,Türkiye
64555,,,,2025-06-23,,,,,Object-to-object and machine-to-machine communication tests. In-orbit demonstration,Türkiye
64553,,,,2025-06-23,,,,,Object-to-object and machine-to-machine communication tests. In-orbit demonstration,Türkiye
64534,,,,2025-06-23,,,,,Object-to-object and machine-to-machine communication tests. In-orbit demonstration,Türkiye
NZ-2025-059,,,,2025-06-23,,,,,Remote sensing,New Zealand
3805-2025-008,,,,2025-06-20,,,,,Assignments on behalf of the Ministry of Defence of the Russian Federation,Russian Federation
3804-2025-007,,,,2025-06-19,,,,,Assignments on behalf of the Ministry of Defence of the Russian Federation,Russian Federation
3803-2025-006,,,,2025-05-23,,,,,Assignments on behalf of the Ministry of Defence of the Russian Federation,Russian Federation
3802-2025-005,,,,2025-04-08,,,,,"Delivery to the International Space Station of the crew of Expedition 73, consisting of Sergei Nikolaevich Ryzhikov (Russian Federation), commander of the crewed transport vehicle; Aleksei Vitalyevich Zubritsky (Russian Federation), flight
engineer 1; and Jonathan Yong Roy Kim (National Aeronautics and Space Administration (NASA) of the United States), flight engineer 2.",Russian Federation
D-R133,,,,2025-03-26,,,,,The LEMUR-2-ESPERANZA spacecraft is used for practical applications and the use of space technology such as weather or communication,Germany
D-R140,,,,2025-03-26,,,,,The LEMUR-2-LANGER2SPACE spacecraft is used for practical applications and the use of space technology such as weather or communication.,Germany
D-R135,,,,2025-03-26,,,,,The LEMUR-2-KREMPEL-BRO2 spacecraft is used for practical applications and the use of space technology such as weather or communication,Germany
D-R134,,,,2025-03-26,,,,,The LEMUR-2-KREMPEL-BRO1 spacecraft is used for practical applications and the use of space technology such as weather or communication,Germany
D-R138,,,,2025-03-26,,,,,The LEMUR-2-TILLINFINITY spacecraft is used for practical applications and the use of space technology such as weather or communication,Germany
D-R137,,,,2025-03-26,,,,,The LEMUR-2-NEUROSPICY spacecraft is used for practical applications and the use of space technology such as weather or communication,Germany
PT-SAT-04-2025,,,,2025-03-26,,,,,"Provision of Very High Frequency Data Exchange System (VDES) and Automatic Identification System (AIS) services to support maritime navigation, with global coverage",Portugal
D-R139,,,,2025-03-26,,,,,The LEMUR-2-UNTITLED-SC spacecraft is used for practical applications and the use of space technology such as weather or communication,Germany
3801-2025-004,,,,2025-03-16,,,,,Assignments on behalf of the Ministry of Defence of the Russian Federation,Russian Federation
3800-2025-004,,,,2025-03-16,,,,,Assignments on behalf of the Ministry of Defence of the Russian Federation,Russian Federation
3799-2025-004,,,,2025-03-16,,,,,Assignments on behalf of the Ministry of Defence of the Russian Federation,Russian Federation
BSA-2025-001,,,,2025-03-15,,,,,"The AlMunther satellite is dedicated to peaceful purposes and scientific research
activities, fully aligned with the principles of the Outer Space Treaty. The mission
objectives include capturing medium-resolution images of the Kingdom of Bahrain
and its territorial waters to support environmental monitoring. Additionally, the
satellite performs advanced onboard experiments utilizing artificial intelligence
algorithms to analyze captured imagery in real-time, enhancing data processing
capabilities directly in orbit. ",Bahrain
63212 NORAD,,,,2025-03-15,,,,,To demonstrate the provision of services relating to communications and surveillance for air traffic control,Spain
3798-2025-003,(GLONASS),,,2025-03-03,,,,,Assignments on behalf of the Ministry of Defence of the Russian Federation,Russian Federation
3797-2025-002,,,,2025-02-27,,,,,"Delivery to the International Space Station of fuel, water, oxygen, air, food, scientific equipment and other consumable materials required for the crew, scientific experiments and operation of the Station",Russian Federation
3795-2025-001,,,,2025-02-05,,,,,Assignments on behalf of the Ministry of Defence of the Russian Federation,Russian Federation
3794-2025-001,,,,2025-02-05,,,,,Assignments on behalf of the Ministry of Defence of the Russian Federation,Russian Federation
3796-2025-001,,,,2025-02-05,,,,,Assignments on behalf of the Ministry of Defence of the Russian Federation,Russian Federation
PROMETHEUS-1,,,,2025-01-22,,,,,"Space operations pursued exclusively for scientific, research and development purposes, and activities with experimental purposes",Portugal
BG-2025-01,,,,2025-01-14,,,,,Earth observation,Bulgaria
2025-DK-01,,,,2025-01-14,,,,,Technology demonstration. The EDISON-1 mission performs in-orbit demonstration by providing flight opportunities to payload equipment.,Denmark
AE-25-06,,,,2025-01-14,,,,,HCT-SAT1 will collect engineering data as well as capturing pictures of the Earth,United Arab Emirates
AE-25-05,,,,2025-01-14,,,,,Educational CubeSat used for academic research,United Arab Emirates
Norsat-4,,,,2025-01-14,,,,,"Maritime surveillance via the Automatic Identification System (AIS), with in-orbit technology demonstrations of low-light imaging and encrypted communications",Norway
62695,,,,2025-01-14,,,,,Object-to-object and machine-to-machine communication tests. In-orbit demonstration,Türkiye
62703,,,,2025-01-14,,,,,Object-to-object and machine-to-machine communication tests. In-orbit demonstration,Türkiye
62715,,,,2025-01-14,,,,,Object-to-object and machine-to-machine communication tests. In-orbit demonstration,Türkiye
62709,,,,2025-01-14,,,,,Object-to-object and machine-to-machine communication tests. In-orbit demonstration,Türkiye
62644,,,,2025-01-14,,,,,Satellite part of a formation-flying satellite cluster and for Earth observation,Spain
62454,(ASTRANIS UTILITYSAT),,,2024-12-29,,,,,Communications,United Kingdom
62455,,,,2024-12-29,,,,,Communications,United Kingdom
62456,,,,2024-12-29,,,,,Communications,United Kingdom
62457,,,,2024-12-29,,,,,,United Kingdom
3793-2024-017,,,,2024-12-25,,,,,Earth remote sensing,Russian Federation
DJ-2024-001,,,,2024-12-21,,,,,Gathering of meteorological data transmitted by ground-based measurement stations,Djibouti
FIN-31-SAT-2024,,,,2024-12-21,,,,,"Earth observation satellite, carrying a synthetic aperture radar. Data will be provided commercially.",Finland
FIN-30-SAT-2024,,,,2024-12-21,,,,,"Earth observation satellite, carrying a synthetic aperture radar. Data will be provided commercially.",Finland
62363,O3B MPOWER F8,,,2024-12-17,,,,,Connectivity,United Kingdom
62362,O3B MPOWER F7,,,2024-12-17,,,,,Connectivity,United Kingdom
3792-2024-016,,,,2024-12-04,,,,,Intended for assignments on behalf of the Ministry of Defence of the Russian Federation,Russian Federation
3791-2024-15,,,,2024-11-30,,,,,Monitoring of emergency situations,Russian Federation
3790-2024-14,,,,2024-11-21,,,,,"Delivery to the International Space Station of fuel, water, oxygen, air, food, scientific equipment and other consumable materials required for the crew, scientific experiments and operation of the Station",Russian Federation
07/2024,OPTUS X (TD7),,,2024-11-17,,,,,The satellite shall provide the Commonwealth of Australia (CoA) multiband communications over the Indo-Pacific region. The satellite is used for defence communications purposes.,Australia
3740-2024-13,,,,2024-11-05,,,,,Technological applications,Russian Federation
3738-2024-13,,,,2024-11-05,,,,,Monitoring of heliogeophysical conditions,Russian Federation
3739-2024-13,,,,2024-11-05,,,,,Monitoring of heliogeophysical conditions,Russian Federation
3766-2024-13,,,,2024-11-05,,,,,Technological applications,Russian Federation
3786-2024-13,,,,2024-11-05,,,,,Technological applications,Russian Federation
3788-2024-13,,,,2024-11-05,,,,,Earth remote sensing,Russian Federation
3762-2024-13,,,,2024-11-05,,,,,Technological applications,Russian Federation
3758-2024-13,,,,2024-11-05,,,,,Technological applications,Russian Federation
3754-2024-13,,,,2024-11-05,,,,,Technological applications,Russian Federation
3753-2024-13,,,,2024-11-05,,,,,Technological applications,Russian Federation
3761-2024-13,,,,2024-11-05,,,,,Earth remote sensing,Russian Federation
3755-2024-13,,,,2024-11-05,,,,,Technological applications,Russian Federation
3756-2024-13,,,,2024-11-05,,,,,Technological applications,Russian Federation
3759-2024-13,,,,2024-11-05,,,,,Scientific applications,Russian Federation
3742-2024-13,,,,2024-11-05,,,,,Technological applications,Russian Federation
3745-2024-13,,,,2024-11-05,,,,,Technological applications,Russian Federation
3746-2024-13,,,,2024-11-05,,,,,Technological applications,Russian Federation
3747-2024-13,,,,2024-11-05,,,,,Technological applications,Russian Federation
3751-2024-13,,,,2024-11-05,,,,,Technological applications,Russian Federation
3743-2024-13,,,,2024-11-05,,,,,Technological applications,Russian Federation
3744-2024-13,,,,2024-11-05,,,,,Technological applications,Russian Federation
3741-2024-13,,,,2024-11-05,,,,,Technological applications,Russian Federation
3752-2024-13,,,,2024-11-05,,,,,Technological applications,Russian Federation
3771-2024-13,,,,2024-11-05,,,,,Scientific applications,Russian Federation
3772-2024-13,,,,2024-11-05,,,,,Scientific applications,Russian Federation
3749-2024-13,,,,2024-11-05,,,,,Technological applications,Russian Federation
3764-2024-13,,,,2024-11-05,,,,,Technological applications,Russian Federation
3763-2024-13,,,,2024-11-05,,,,,Scientific applications,Russian Federation
3768-2024-13,,,,2024-11-05,,,,,Scientific applications,Russian Federation
3777-2024-13,,,,2024-11-05,,,,,Technological applications,Russian Federation
3773-2024-13,,,,2024-11-05,,,,,Technological applications,Russian Federation
3779-2024-13,,,,2024-11-05,,,,,Technological applications,Russian Federation
3767-2024-13,,,,2024-11-05,,,,,Scientific applications,Russian Federation
3778-2024-13,,,,2024-11-05,,,,,Technological applications,Russian Federation
3776-2024-13,,,,2024-11-05,,,,,Technological applications,Russian Federation
3774-2024-13,,,,2024-11-05,,,,,Technological applications,Russian Federation
3781-2024-13,,,,2024-11-05,,,,,Technological applications,Russian Federation
3785-2024-13,,,,2024-11-05,,,,,Technological applications,Russian Federation
3787-2024-13,,,,2024-11-05,,,,,Technological applications,Russian Federation
3783-2024-13,,,,2024-11-05,,,,,Technological applications,Russian Federation
3748-2024-13,,,,2024-11-05,,,,,Technological applications,Russian Federation
3782-2024-13,,,,2024-11-05,,,,,Technological applications,Russian Federation
3789-2024-13,,,,2024-11-05,,,,,Earth remote sensing,Russian Federation
3784-2024-13,HORIZON GORIZONT,,,2024-11-05,,,,,Scientific applications,Russian Federation
3760-2024-13,,,,2024-11-05,,,,,Technological applications,Russian Federation
3750-2024-13,,,,2024-11-05,,,,,Technological applications,Russian Federation
3775-2024-13,,,,2024-11-05,,,,,Technological applications,Russian Federation
3769-2024-13,,,,2024-11-05,,,,,Earth remote sensing,Russian Federation
3770-2024-13,,,,2024-11-05,,,,,Scientific applications,Russian Federation
3757-2024-13,,,,2024-11-05,,,,,Scientific applications,Russian Federation
3780-2024-13,,,,2024-11-05,,,,,Scientific applications,Russian Federation
3737-2024-012,,,,2024-10-31,,,,,"Space object intended for assignments on
behalf of the Ministry of Defence of the
Russian Federation",Russian Federation
61605,,,,2024-10-20,,,,,Communications,United Kingdom
61613,,,,2024-10-20,,,,,Communications,United Kingdom
61594,,,,2024-10-20,,,,,Communications,United Kingdom
61600,,,,2024-10-20,,,,,Communications,United Kingdom
61596,,,,2024-10-20,,,,,Communications,United Kingdom
61608,,,,2024-10-20,,,,,Communications,United Kingdom
61601,,,,2024-10-20,,,,,Communications,United Kingdom
61610,,,,2024-10-20,,,,,Communications,United Kingdom
61595,,,,2024-10-20,,,,,Communications,United Kingdom
61599,,,,2024-10-20,,,,,Communications,United Kingdom
61598,,,,2024-10-20,,,,,Communications,United Kingdom
61597,,,,2024-10-20,,,,,Communications,United Kingdom
61611,,,,2024-10-20,,,,,Communications,United Kingdom
61603,,,,2024-10-20,,,,,Communications,United Kingdom
61604,,,,2024-10-20,,,,,Communications,United Kingdom
61606,,,,2024-10-20,,,,,Communications,United Kingdom
61607,,,,2024-10-20,,,,,Communications,United Kingdom
61612,,,,2024-10-20,,,,,Communications,United Kingdom
61602,,,,2024-10-20,,,,,Communications,United Kingdom
61609,,,,2024-10-20,,,,,Communications,United Kingdom
FIN-29-SAT-2024,,,,2024-08-16,,,,,Earth observation satellite carrying a hyperspectral imager,Finland
2024-MA-001,,,,2024-08-16,,,,,"Automatic Dependent Surveillance–Broadcast (ADS-B),  Automatic Identification System (AIS) and Internet of Things (IoT)",Morocco
2024-MA-SC-002,,,,2024-08-16,,,,,Earth observation,Morocco
AE-24-01,,,,2024-08-16,,,,,Earth observation,United Arab Emirates
3733-2024-009,,,,2024-08-15,,,,,"Delivery to the International Space Station of fuel, water, oxygen, air, food, scientific equipment and other consumable materials required for the crew, scientific experiments and operation of the Station",Russian Federation
2024-004SK,,,,2024-07-09,,,,,"Amateur radio communication activities, tests of technologies and scientific and technological experiments",Slovakia
PT-SAT-02-2024,,,,2024-07-09,,,,,"Scientific activities (demonstration of new Automatic Dependent Surveillance - Broadcast (ADS-B) signal decoding technology)
",Portugal
60233,,,,2024-07-08,,,,,Communication,Türkiye
3732-2024-008,,,,2024-05-30,,,,,"Delivery to the International Space Station of fuel, water, oxygen, air, food, scientific equipment and other consumable materials required for the crew, scientific experiments and operation of the Station",Russian Federation
3729-2024-007,,,,2024-05-16,,,,,Technological applications,Russian Federation
3731-2024-007,,,,2024-05-16,,,,,Earth remote sensing,Russian Federation
3730-2024-007,,,,2024-05-16,,,,,Earth remote sensing,Russian Federation
3722-2024-007,,,,2024-05-16,,,,,Intended for assignments on behalf of the Ministry of Defence of the Russian Federation,Russian Federation
3724-2024-007,,,,2024-05-16,,,,,Technological applications,Russian Federation
3725-2024-007,,,,2024-05-16,,,,,Technological applications,Russian Federation
3723-2024-007,,,,2024-05-16,,,,,Technological applications,Russian Federation
3727-2024-007,,,,2024-05-16,,,,,Technological applications,Russian Federation
3728-2024-007,,,,2024-05-16,,,,,Technological applications,Russian Federation
3726-2024-007,,,,2024-05-16,,,,,Technological applications,Russian Federation
3721-2024-006,,,,2024-04-11,,,,,Testing of service platform on-board systems in the outer space environment and achievement of flight qualification of the platform,Russian Federation
3720-2024-006,DUMMY SAT 3/ORION,,,2024-04-11,,,,,Full-scale model (not separated from the upper stage),Russian Federation
3719-2024-005,RESURS P4,,,2024-03-31,,,,,Earth remote sensing,Russian Federation
3718-2024-004,,,,2024-03-23,,,,,"Delivery to the International Space Station of the crew of Visiting Expedition 21, consisting of Oleg Viktorovich Novitsky (Russian Federation), commander of the crewed transport vehicle; space flight participant Marina Vitalyevna Vasilevskaya (Belarus); and Expedition 71 participant and flight engineer Tracy Ellen Caldwell Dyson (United States of America)",Russian Federation
2024-B-SC-042,,,,2024-03-04,,,,,On-orbit testing and demonstration,Belgium
2024-B-SC-041,,,,2024-03-04,,,,,On-orbit testing and demonstration,Belgium
2024-B-SC-043,,,,2024-03-04,,,,,On-orbit testing and demonstration,Belgium
2024-B-SC-040,VSP ROSE,,,2024-03-04,,,,,On-orbit testing and demonstration,Belgium
FIN-28-SAT-2024,,,,2024-03-04,,,,,"Earth observation satellite, carrying a synthetic aperture radar. Data will be provided commercially.",Finland
2024-043AA,"(NUSAT 44, MARIA MITCHELL)",,,2024-03-04,,,,,Earth observation,Uruguay
PT-SAT-01-2024,(MH-1),,,2024-03-04,,,,,Scientific activities (ocean observation of the Portuguese Atlantic region and the pursuit of scientific experiments in oceanography and climate change),Portugal
3699-2024-003,(METEOR M2-4),,,2024-02-29,,,,,Earth remote sensing,Russian Federation
3702-2024-003,,,,2024-02-29,,,,,Technological applications,Russian Federation
3703-2024-003,,,,2024-02-29,,,,,Technological applications,Russian Federation
3701-2024-003,,,,2024-02-29,,,,,Technological applications,Russian Federation
3700-2024-003,,,,2024-02-29,,,,,Technological applications,Russian Federation
3717-2024-003,,,,2024-02-29,,,,,Full-scale model,Russian Federation
3716-2024-003,,,,2024-02-29,,,,,Earth remote sensing,Russian Federation
3704-2024-003,,,,2024-02-29,,,,,Technological applications,Russian Federation
3715-2024-003,,,,2024-02-29,,,,,Technological applications,Russian Federation
3707-2024-003,,,,2024-02-29,,,,,Technological applications,Russian Federation
3712-2024-003,,,,2024-02-29,,,,,Technological applications,Russian Federation
3705-2024-003,,,,2024-02-29,,,,,Technological applications,Russian Federation
3714-2024-003,,,,2024-02-29,,,,,Technological applications,Russian Federation
3706-2024-003,,,,2024-02-29,,,,,Technological applications,Russian Federation
3713-2024-003,,,,2024-02-29,,,,,Technological applications,Russian Federation
3708-2024-003,,,,2024-02-29,,,,,Technological applications,Russian Federation
3710-2024-003,,,,2024-02-29,,,,,Technological applications,Russian Federation
3711-2024-003,,,,2024-02-29,,,,,Technological applications,Russian Federation
3709-2024-003,,,,2024-02-29,,,,,Technological applications,Russian Federation
Merah Putih 2,(TELKOMSAT 113BT),,,2024-02-20,,,,,Communication satellite,Indonesia
3698-2024-002,,,,2024-02-15,,,,,"Delivery to the International Space Station of fuel, water, oxygen, air, food, scientific equipment and other consumable materials required for the crew, scientific experiments and operation of the Station",Russian Federation
3697-2024-001,,,,2024-02-09,,,,,Intended for assignments on behalf of the Ministry of Defence of the Russian Federation------,Russian Federation
2024-010A,IGS O-8,,,2024-01-12,,,,,Satellite conducting missions assigned by the Government of Japan ,Japan
3696-2023-022,,,,2023-12-27,,,,,Intended for assignments on behalf of the Ministry of Defence of the Russian Federation,Russian Federation
3695-2023-021,,,,2023-12-21,,,,,Intended for assignments on behalf of the Ministry of Defence of the Russian Federation,Russian Federation
3694-2023-020,,,,2023-12-15,,,,,Hydrometeorological satellite,Russian Federation
ALISIO-1 / Nº 035,,,,2023-12-12,,,,,Observation of the Earth’s surface,Spain
002,,,,2023-12-01,,,,,"Hayasat-1 is an educational and technology demonstration mission. Within implementation of the mission, space engineering (from satellite component testing to satellite integration) has been enhanced and satellite operation capabilities will be developed.
The communication system of Hayasat-1 transmits a part from the ""Praise of the Partridge"" song composed by eminent Armenian musicologist Komitas, who is considered the founder of the Armenian national school of music.
The satellite also carries an internally developed and manufactured secondary payload,  measurements of which will provide data on the satellite's rotations, position and motion.",Armenia
3693-2023-019,,,,2023-12-01,,,,,"Delivery to the International Space Station of fuel, water, oxygen, air, food, scientific equipment and other consumable materials required for the crew, scientific experiments and operation of the Station",Russian Federation
2023IE001,,,,2023-12-01,,,,,"2U educational and scientific CubeSat from University College Dublin (UCD), Ireland. The three payloads are a gamma-ray detector, a material science temperature experiment and an attitude control algorithm testbed. Also includes UCD-designed and built ultra-high frequency (UHF) and very-high frequency (VHF) Antenna Deployment Module",Ireland
3692-2023-018,,,,2023-11-25,,,,,Intended for assignments on behalf of the Ministry of Defence of the Russian Federation,Russian Federation
MY012,,,,2023-11-11,,,,,Demonstrates store-and-forward technology using a pico-satellite platform for research and educational purposes,Malaysia
58256,,,,2023-11-11,,,,,Object-to-object and machine-to-machine communication tests. In-orbit demonstration.,Türkiye
58268,,,,2023-11-11,,,,,Object-to-object and machine-to-machine communication tests. In-orbit demonstration.,Türkiye
FIN-27-SAT-2023,,,,2023-11-11,,,,,"Earth observation satellite, carrying a synthetic aperture radar. Data will be provided commercially.",Finland
FIN-25-SAT-2023,,,,2023-11-11,,,,,"Earth observation satellite, carrying a synthetic aperture radar. Data will be provided commercially.",Finland
DJ-2023-001,,,,2023-11-11,,,,,Gathering of meteorological data transmitted by ground-based measurement stations,Djibouti
58281,(AETHER 1),,,2023-11-11,,,,,Data transfer and technology,Canada
58299,(AETHER 2),,,2023-11-11,,,,,Data transfer and technology,Canada
2023-B-SC-039,,,,2023-11-11,,,,,Test and demonstration of a versatile satellite platform,Belgium
FIN-26-SAT-2023,,,,2023-11-11,,,,,"Earth observation satellite, carrying a synthetic aperture radar. Data will be provided commercially.",Finland
2024-003SK,,,,2023-11-11,,,,,"Amateur radio activities, tests of technologies and scientific and technological experiments",Slovakia
BG-2023-01,,,,2023-11-11,,,,,Technological demonstration,Bulgaria
3691-2023-017,,,,2023-10-29,,,,,Intended for assignments on behalf of the Ministry of Defence of the Russian Federation,Russian Federation
3690-2023-016,,,,2023-10-27,,,,,Intended for assignments on behalf of the Ministry of Defence of the Russian Federation,Russian Federation
3689-2023-015,,,,2023-10-25,,,,,------,Russian Federation
0004,,,,2023-10-09,,,,,Altimetry measurements using direct and reflected signals of navigation satellites (passive reflectometry) and measurement of the near earth radiation environment (dosimetry).,Austria
2023-B-SC-038,,,,2023-10-09,,,,,In-flight demonstration and testing [and] calibration of data,Belgium
ANSER-FLW-1 / Nº 036,(ANSER-FLW1),,,2023-10-09,,,,,Monitoring of the quality of reservoirs and swamps in Spain,Spain
ANSER-FLW-2 / Nº 037,ANSER-FLW2,,,2023-10-09,,,,,Monitoring of the quality of reservoirs and swamps in Spain,Spain
3688-2023-014,,,,2023-09-15,,,,,"Delivery to the International Space Station of the crew of Expeditions 70 and 71, consisting of Oleg Dmitrievich Kononenko (Russian Federation),
commander of the crewed transport vehicle, and flight engineer-1 Nikolai Aleksandrovich Chub (Russian Federation) and flight engineer-2 Loral Ashley O’Hara (United States of America)",Russian Federation
2023-137D-A,,,,2023-09-06,,,,,LEV-1 demonstrates an autonomous mobile exploration function that does not require command transmission from the ground,Japan
2023-137D-B,,,,2023-09-06,,,,,LEV-2 is equipped with two cameras and can change its shape to run on the lunar surface,Japan
3687-2023-013,,,,2023-08-23,,,,,"Delivery to the International Space Station of fuel, water, oxygen, air, food, scientific equipment and other consumable materials required for the crew, scientific experiments and operation of the Station",Russian Federation
3686-2023-012,(LUNA 25),,,2023-08-10,,,,,Lunar exploration,Russian Federation
3685-2023-011,(GLONASS),,,2023-08-07,,,,,The dual-use space object is intended to perform tasks on behalf of the Ministry of Defence of the Russian Federation and to support the socioeconomic development of the Russian Federation,Russian Federation
57392,,,,2023-07-18,,,,,Communications technology demonstrator,Canada
3683-2023-010,,,,2023-07-11,,,,,Academic research,Russian Federation
3682-2023-010,,,,2023-07-11,,,,,Academic research,Russian Federation
3684-2023-010,,,,2023-07-11,,,,,Academic research,Russian Federation
3681-2023-010,,,,2023-07-11,,,,,Academic research,Russian Federation
3680-2023-010,,,,2023-07-11,,,,,Academic research,Russian Federation
3679-2023-010,,,,2023-07-11,,,,,Academic research,Russian Federation
3639-2023-009,(METEOR M2-3),,,2023-06-27,,,,,Earth remote sensing,Russian Federation
3642-2023-009,,,,2023-06-27,,,,,Scientific applications,Russian Federation
3641-2023-009,,,,2023-06-27,,,,,Scientific applications,Russian Federation
3645-2023-009,,,,2023-06-27,,,,,Technological applications,Russian Federation
3643-2023-009,,,,2023-06-27,,,,,Technological applications,Russian Federation
3651-2023-009,,,,2023-06-27,,,,,Scientific applications,Russian Federation
3646-2023-009,,,,2023-06-27,,,,,Scientific applications,Russian Federation
3649-2023-009,,,,2023-06-27,,,,,Scientific applications,Russian Federation
3650-2023-009,,,,2023-06-27,,,,,Scientific applications,Russian Federation
3647-2023-009,,,,2023-06-27,,,,,Scientific applications,Russian Federation
3653-2023-009,,,,2023-06-27,,,,,Earth remote sensing,Russian Federation
3657-2023-009,,,,2023-06-27,,,,,Technological applications,Russian Federation
3656-2023-009,,,,2023-06-27,,,,,Technological applications,Russian Federation
3660-2023-009,,,,2023-06-27,,,,,Technological applications,Russian Federation
3661-2023-009,,,,2023-06-27,,,,,Technological applications,Russian Federation
3659-2023-009,,,,2023-06-27,,,,,Technological applications,Russian Federation
3655-2023-009,,,,2023-06-27,,,,,Technological applications,Russian Federation
3654-2023-009,,,,2023-06-27,,,,,Technological applications,Russian Federation
3652-2023-009,,,,2023-06-27,,,,,Scientific applications,Russian Federation
3648-2023-009,,,,2023-06-27,,,,,Scientific applications,Russian Federation
3666-2023-009,,,,2023-06-27,,,,,Scientific applications,Russian Federation
3662-2023-009,,,,2023-06-27,,,,,Earth remote sensing,Russian Federation
3667-2023-009,,,,2023-06-27,,,,,Scientific applications,Russian Federation
3665-2023-009,,,,2023-06-27,,,,,Scientific applications,Russian Federation
3668-2023-009,,,,2023-06-27,,,,,Technological applications,Russian Federation
3676-2023-009,,,,2023-06-27,,,,,Technological applications,Russian Federation
3669-2023-009,,,,2023-06-27,,,,,Scientific applications,Russian Federation
3674-2023-009,,,,2023-06-27,,,,,Scientific applications,Russian Federation
3673-2023-009,,,,2023-06-27,,,,,Scientific applications,Russian Federation
3664-2023-009,,,,2023-06-27,,,,,Scientific applications,Russian Federation
3663-2023-009,,,,2023-06-27,,,,,Scientific applications,Russian Federation
3677-2023-009,,,,2023-06-27,,,,,Technological applications,Russian Federation
3678-2023-009,,,,2023-06-27,,,,,Technological applications,Russian Federation
3658-2023-009,,,,2023-06-27,,,,,Technological applications,Russian Federation
3675-2023-009,,,,2023-06-27,,,,,Scientific applications,Russian Federation
3640-2023-009,,,,2023-06-27,,,,,Scientific applications,Russian Federation
3672-2023-009,,,,2023-06-27,,,,,Scientific applications,Russian Federation
3670-2023-009,,,,2023-06-27,,,,,Scientific applications,Russian Federation
MY011,,,,2023-06-27,,,,,"Purpose of the space object - research and development:
1. Monitor and track seafaring vessels beyond coastal areas in the Southeast Asia region using an Automatic Identification System (AIS) receiver.
2. Remote sensing using a high-resolution optical imager sensor (up to 5-metre ground-sampling distance at low Earth orbit), including activity monitoring, disaster monitoring, sea and rescue, as well as for other strategic application.
",Malaysia
3644-2023-009,,,,2023-06-27,,,,,Scientific applications,Russian Federation
3671-2023-009,,,,2023-06-27,,,,,Earth remote sensing,Russian Federation
