Registration Number,Object Name,Launch Vehicle,Place of Launch,Date of Launch,Apogee (km),Perigee (km),Inclination (degrees),Period (minutes),Function,Country of Origin
1998-067KX,,,,2017-01-16,,,,,In-orbit demonstration of a pulsed plasma thruster (PPT)-driven electric propulsion system. Detection of nuclear radiation-induced failure of microprocessors,Japan
1998-067KV,,,,2017-01-16,,,,,Test of an experimental de-orbit system that uses folding membranes,Japan
GJ-1-01,SUPERVIEW 1-01,,,2016-12-28,,,,,Earth observation,China
GJ-1-02,SUPERVIEW 1-02,,,2016-12-28,,,,,Earth observation,China
1998-067KR,,,,2016-12-19,,,,,Verify space tether deployment in orbit.,Japan
3461-2016-012,,,,2016-11-17,,,,,"Delivery to the International Space Station (ISS) of the crew of Expeditions 50 and 51, consisting of Oleg Viktorovich Novitsky (Russian Federation), the commander of the manned transport vehicle (MTV), Thomas Gautier Pesquet (France), flight engineer, and Peggy Annette Whitson (United States of America), MTV flight engineer and commander of Expedition 51",Russian Federation
XPNAV 1,,,,2016-11-09,,,,,Space science,China
SJ 17,SHIJIAN 17,,,2016-11-03,,,,,,China
3460-2016-011,,,,2016-10-19,,,,,"Delivery to the International Space Station of the crew for Expeditions 49 and 50, consisting of the commander of the manned transport vehicle (MTV), Sergei Nikolaevich Ryzhikov (Russian Federation), flight engineer Andrei Ivanovich Borisenko (Russian Federation) and MTV flight engineer and commander of Expedition 50 Robert Shane Kimbrough (United States of America)",Russian Federation
NBNCo-1B,,,,2016-10-05,,,,,"Broadband telecommunications within Australia, and nearby islands under Australian jurisdiction.",Australia
003-2016DZ,,,,2016-09-26,,,,,"The purpose of the nanosatellite is to validate and increase the flight heritage of three payloads — thin-film solar cells, a retractable boom and an experimental camera with three fields of view — and to develop scientific and technical research and the integration and operational capabilities of space systems. This project is part of the cooperation programme between the Algerian Space Agency (ASAL) and the UK Space Agency (UKSA).",Algeria
001-2016DZ,,,,2016-09-26,,,,,Medium-resolution Earth observation satellite. Earth observation satellite equipped with a camera with a spatial resolution of 12 metres in panchromatic mode and 24 metres in multispectral mode.,Algeria
002-2016DZ,,,,2016-09-26,,,,,Earth observation satellite equipped with a camera with a spatial resolution of 2.5 metres in panchromatic mode and 10 metres in multispectral mode.,Algeria
Peru 003,,,,2016-09-16,,,,,"Earth observation satellite with a non-geostationary orbit and a very high-resolution optical sensor.
Provision of information for all sectors, including the agricultural, fishing and forestry industries; climate, hydrology and oceanography; natural resources and environmental monitoring; mapping, geology, mining and land-use planning; health management, land-use, urban and rural planning; management of natural and man-made disasters, earthquakes, floods, fires or tsunamis; national security; environment and natural resources, climate studies and studies on global atmospheric change; oil and gas exploration; sea level warning and monitoring in relation to the El Niño phenomenon; and culture.
",Peru
ROLEU.ESP.26,,,,2016-08-15,,,,,"Education, technology demonstration and Earth observation through GNSS signal reflectometry",Spain
2016-050A,,,,2016-08-14,,,,,Satellite telecommunications,Japan
3459-2016-010,,,,2016-07-17,,,,,"Delivery to the ISS of fuel, consumables and various goods to support the functioning of the ISS",Russian Federation
3458-2016-009,,,,2016-07-07,,,,,"Delivery to the International Space Station (ISS) of the crew of Expeditions 48 and 49, consisting of the commander of the manned transport vehicle (MTV) Anatoly Alekseevich Ivanishin (Russian Federation), and flight engineers Takuya Onishi (Japan) and Kathleen Rubins (United States of America)",Russian Federation
D-R053,,,,2016-06-22,,,,,Microsatellite for remote sensing of high temperature events,Germany
D-R054,,,,2016-06-22,,,,,1. Precise position and orbit determination with GPS receiver; 2. Student education; and  3. Amateur radio.,Germany
3457-2016-008,(GEO-IK),,,2016-06-04,,,,,The space object is intended for assignments on behalf of the Ministry of Defence of the Russian Federation,Russian Federation
3456-2016-007,(GLONASS),,,2016-05-29,,,,,Work on the Global Navigation Satellite System (GLONASS),Russian Federation
